Block,gen[B],kill[B],in[B],out[B]
B64,"{'D23', 'D22'}","{'D10', 'D11'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D22', 'D15', 'D27', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}"
B65,{},{},"{'D24', 'D17', 'D3', 'D10', 'D7', 'D21', 'D8', 'D18', 'D25', 'D16', 'D31', 'D27', 'D5', 'D12', 'D4', 'D29', 'D28', 'D20', 'D6', 'D19', 'D1', 'D15', 'D22', 'D9', 'D30', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}"
B66,{},{},"{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}"
B67,{},{},"{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}"
B68,{'D24'},{'D1'},"{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}"
B69,{},{},"{'D24', 'D17', 'D3', 'D10', 'D7', 'D21', 'D8', 'D18', 'D25', 'D16', 'D31', 'D27', 'D5', 'D12', 'D4', 'D29', 'D28', 'D20', 'D6', 'D19', 'D1', 'D15', 'D22', 'D9', 'D30', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}"
B70,{},{},"{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}"
B71,{},{},"{'D24', 'D17', 'D3', 'D10', 'D7', 'D21', 'D8', 'D18', 'D25', 'D16', 'D31', 'D27', 'D5', 'D12', 'D4', 'D29', 'D28', 'D20', 'D6', 'D19', 'D1', 'D15', 'D22', 'D9', 'D30', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}"
B72,{'D25'},{'D27'},"{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}"
B73,{},{},"{'D24', 'D17', 'D3', 'D10', 'D7', 'D21', 'D8', 'D18', 'D25', 'D16', 'D31', 'D27', 'D5', 'D12', 'D4', 'D29', 'D28', 'D20', 'D6', 'D19', 'D1', 'D15', 'D22', 'D9', 'D30', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}"
