Block,gen[B],kill[B],in[B],out[B]
B51,"{'D57', 'D56'}","{'D52', 'D76', 'D63', 'D82', 'D15', 'D70', 'D27', 'D91', 'D36', 'D28', 'D83', 'D49', 'D7', 'D55', 'D31', 'D8', 'D74', 'D71', 'D41', 'D50', 'D62', 'D90', 'D32', 'D54', 'D51', 'D16', 'D42', 'D37'}","{'D45', 'D57', 'D60', 'D42', 'D41', 'D46', 'D53', 'D43', 'D56', 'D54', 'D44', 'D55'}","{'D45', 'D57', 'D60', 'D46', 'D53', 'D43', 'D56', 'D44'}"
B52,{},{},"{'D44', 'D24', 'D11', 'D25', 'D4', 'D40', 'D41', 'D53', 'D43', 'D23', 'D56', 'D45', 'D57', 'D60', 'D42', 'D46', 'D3', 'D5', 'D1', 'D12'}","{'D44', 'D24', 'D11', 'D25', 'D4', 'D40', 'D41', 'D53', 'D43', 'D23', 'D56', 'D45', 'D57', 'D60', 'D42', 'D46', 'D3', 'D5', 'D1', 'D12'}"
B53,{},{},"{'D24', 'D25', 'D43', 'D56', 'D60', 'D46', 'D5', 'D12', 'D44', 'D11', 'D4', 'D40', 'D41', 'D53', 'D23', 'D45', 'D57', 'D42', 'D3', 'D1'}","{'D1', 'D24', 'D11', 'D25', 'D4', 'D40', 'D41', 'D53', 'D43', 'D56', 'D23', 'D45', 'D57', 'D60', 'D42', 'D46', 'D3', 'D5', 'D44', 'D12'}"
B54,{},{},"{'D24', 'D25', 'D63', 'D58', 'D43', 'D56', 'D61', 'D60', 'D46', 'D5', 'D12', 'D44', 'D11', 'D4', 'D65', 'D40', 'D64', 'D41', 'D53', 'D23', 'D62', 'D45', 'D57', 'D42', 'D3', 'D1', 'D59'}","{'D1', 'D24', 'D11', 'D25', 'D4', 'D65', 'D63', 'D40', 'D64', 'D58', 'D41', 'D53', 'D43', 'D56', 'D23', 'D62', 'D45', 'D57', 'D61', 'D60', 'D42', 'D46', 'D59', 'D3', 'D5', 'D44', 'D12'}"
B55,{},{},"{'D24', 'D25', 'D63', 'D58', 'D43', 'D56', 'D61', 'D60', 'D46', 'D5', 'D12', 'D44', 'D11', 'D4', 'D65', 'D40', 'D64', 'D41', 'D53', 'D23', 'D62', 'D45', 'D57', 'D42', 'D3', 'D1', 'D59'}","{'D1', 'D24', 'D11', 'D25', 'D4', 'D65', 'D63', 'D40', 'D64', 'D58', 'D41', 'D53', 'D43', 'D56', 'D23', 'D62', 'D45', 'D57', 'D61', 'D60', 'D42', 'D46', 'D59', 'D3', 'D5', 'D44', 'D12'}"
B56,{},{},"{'D24', 'D25', 'D63', 'D58', 'D43', 'D56', 'D61', 'D60', 'D46', 'D5', 'D12', 'D44', 'D11', 'D4', 'D65', 'D40', 'D64', 'D41', 'D53', 'D23', 'D62', 'D45', 'D57', 'D42', 'D3', 'D1', 'D59'}","{'D1', 'D24', 'D11', 'D25', 'D4', 'D65', 'D63', 'D40', 'D64', 'D58', 'D41', 'D53', 'D43', 'D56', 'D23', 'D62', 'D45', 'D57', 'D61', 'D60', 'D42', 'D46', 'D59', 'D3', 'D5', 'D44', 'D12'}"
B57,"{'D65', 'D61', 'D63', 'D64', 'D60', 'D58', 'D62', 'D59'}","{'D67', 'D38', 'D22', 'D69', 'D87', 'D80', 'D5', 'D89', 'D84', 'D31', 'D11', 'D86', 'D40', 'D17', 'D51', 'D32', 'D92', 'D79', 'D1', 'D78', 'D13', 'D76', 'D70', 'D43', 'D91', 'D66', 'D12', 'D4', 'D30', 'D8', 'D74', 'D75', 'D73', 'D85', 'D50', 'D90', 'D45', 'D81', 'D9', 'D16', 'D39', 'D3', 'D52', 'D25', 'D35', 'D2', 'D27', 'D56', 'D36', 'D28', 'D18', 'D10', 'D72', 'D49', 'D46', 'D47', 'D55', 'D77', 'D33', 'D41', 'D26', 'D23', 'D54', 'D57', 'D42', 'D37', 'D14', 'D88', 'D24', 'D82', 'D15', 'D6', 'D19', 'D21', 'D93', 'D83', 'D34', 'D7', 'D48', 'D71', 'D53', 'D68', 'D29', 'D20', 'D44'}","{'D1', 'D24', 'D11', 'D25', 'D4', 'D65', 'D63', 'D40', 'D64', 'D58', 'D41', 'D53', 'D43', 'D56', 'D23', 'D62', 'D45', 'D57', 'D61', 'D60', 'D42', 'D46', 'D59', 'D3', 'D5', 'D44', 'D12'}","{'D65', 'D61', 'D63', 'D64', 'D60', 'D58', 'D62', 'D59'}"
B58,{},{},"{'D1', 'D24', 'D11', 'D25', 'D4', 'D65', 'D40', 'D63', 'D64', 'D58', 'D41', 'D53', 'D43', 'D56', 'D23', 'D62', 'D45', 'D57', 'D61', 'D60', 'D42', 'D46', 'D59', 'D3', 'D5', 'D44', 'D12'}","{'D1', 'D24', 'D11', 'D25', 'D4', 'D65', 'D40', 'D63', 'D64', 'D58', 'D41', 'D53', 'D43', 'D56', 'D23', 'D62', 'D45', 'D57', 'D61', 'D60', 'D42', 'D46', 'D59', 'D3', 'D5', 'D44', 'D12'}"
B59,{},{},"{'D24', 'D25', 'D63', 'D58', 'D43', 'D56', 'D61', 'D60', 'D46', 'D5', 'D12', 'D44', 'D11', 'D4', 'D65', 'D40', 'D64', 'D41', 'D53', 'D23', 'D62', 'D45', 'D57', 'D42', 'D3', 'D1', 'D59'}","{'D1', 'D24', 'D11', 'D25', 'D4', 'D65', 'D63', 'D40', 'D64', 'D58', 'D41', 'D53', 'D43', 'D56', 'D23', 'D62', 'D45', 'D57', 'D61', 'D60', 'D42', 'D46', 'D59', 'D3', 'D5', 'D44', 'D12'}"
B60,{},{},"{'D24', 'D25', 'D63', 'D58', 'D43', 'D56', 'D61', 'D60', 'D46', 'D5', 'D12', 'D44', 'D11', 'D4', 'D65', 'D40', 'D64', 'D41', 'D53', 'D23', 'D62', 'D45', 'D57', 'D42', 'D3', 'D1', 'D59'}","{'D1', 'D24', 'D11', 'D25', 'D4', 'D65', 'D63', 'D40', 'D64', 'D58', 'D41', 'D53', 'D43', 'D56', 'D23', 'D62', 'D45', 'D57', 'D61', 'D60', 'D42', 'D46', 'D59', 'D3', 'D5', 'D44', 'D12'}"
